"FLIGHT_NUMBER","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","DESTINATION_AIRPORT","LATE_AIRCRAFT_DELAY","AIRLINE_DELAY","WEATHER_DELAY"
1225,2015,7,21,2,"DL","TPA",0,16,0
1490,2015,1,5,1,"DL","LAS",3,16,0
946,2015,7,10,5,"DL","MSP",0,19,0
870,2015,9,26,6,"DL","RSW",0,61,0
1997,2015,12,28,1,"DL","MCI",0,15,0
87,2015,2,24,2,"DL","SAN",0,30,0
19,2015,4,3,5,"DL","MCO",0,9,0
52,2015,6,13,6,"DL","MSP",0,45,0
1795,2015,6,26,5,"DL","PHX",11,4,0
1273,2015,2,2,1,"DL","MSY",133,63,0
733,2015,7,2,4,"DL","SEA",35,3,0
2580,2015,7,15,3,"DL","GRR",0,33,0
1553,2015,4,4,6,"AA","MIA",0,16,0
1715,2015,9,22,2,"DL","ATL",50,5,0
630,2015,11,20,5,"DL","ATL",45,15,0
679,2015,5,18,1,"DL","BWI",18,108,0
1495,2015,7,30,4,"DL","BDL",0,43,0
2629,2015,5,16,6,"DL","ORD",0,90,0
582,2015,8,7,5,"DL","LGA",0,17,0
1794,2015,1,9,5,"DL","EWR",172,2,0
1269,2015,1,2,5,"AA","DFW",48,5,0
1094,2015,2,19,4,"DL","MSP",3,12,0
373,2015,6,23,2,"DL","SFO",12,152,0
1981,2015,7,8,3,"AA","CLT",75,5,0
1617,2015,12,29,2,"DL","RSW",5,5,0
2248,2015,9,20,7,"DL","LGA",0,22,0
1350,2015,2,26,4,"DL","BOS",0,49,0
630,2015,1,5,1,"DL","ATL",0,20,0
2028,2015,8,19,3,"DL","MCO",0,28,0
843,2015,9,16,3,"DL","MHT",0,61,0
1854,2015,11,2,1,"DL","DEN",58,9,0
1513,2015,6,27,6,"DL","GRR",47,2,0
2027,2015,4,9,4,"DL","MSN",0,117,0
1490,2015,6,7,7,"DL","LAS",0,12,0
945,2015,3,18,3,"DL","MSP",0,89,0
1109,2015,1,3,6,"DL","FLL",5,4,0
258,2015,6,26,5,"AA","DFW",0,21,0
1409,2015,2,11,3,"DL","MCI",0,41,0
2263,2015,5,27,3,"DL","SEA",0,64,0
678,2015,5,26,2,"DL","ORD",6,10,0
1665,2015,4,16,4,"DL","PVD",0,7,0
1476,2015,12,10,4,"DL","MSP",2,31,0
2021,2015,2,17,2,"DL","PHX",0,39,0
2153,2015,7,11,6,"DL","IAH",0,82,0
1903,2015,7,19,7,"DL","BOS",0,137,0
1809,2015,3,16,1,"DL","SLC",0,11,0
1921,2015,7,2,4,"DL","PHX",0,37,0
1997,2015,6,24,3,"DL","MCI",0,46,0
858,2015,1,4,7,"DL","SEA",0,13,0
745,2015,6,1,1,"DL","SFO",0,49,0
2316,2015,7,19,7,"DL","LAS",0,151,0
582,2015,4,12,7,"DL","LGA",25,21,0
733,2015,9,8,2,"DL","SEA",0,20,0
1096,2015,8,7,5,"DL","MSP",19,119,0
2235,2015,1,1,4,"AA","PHX",0,36,0
1704,2015,4,9,4,"DL","FLL",29,13,0
2523,2015,11,8,7,"DL","BOS",0,103,0
2092,2015,9,21,1,"DL","SFO",0,88,0
1617,2015,12,6,7,"DL","RSW",0,23,0
2357,2015,7,17,5,"DL","MKE",23,15,0
1565,2015,7,5,7,"DL","BNA",0,18,0
943,2015,11,7,6,"DL","MSN",0,117,0
158,2015,7,25,6,"DL","BOS",0,19,0
1163,2015,5,27,3,"DL","STL",0,34,0
714,2015,5,12,2,"DL","LGA",0,65,0
2242,2015,5,15,5,"DL","IND",0,6,0
2001,2015,5,7,4,"DL","JAX",0,17,0
1439,2015,9,7,1,"DL","BDL",0,43,0
630,2015,12,26,6,"DL","ATL",13,13,0
1490,2015,2,14,6,"DL","LAS",36,8,0
765,2015,11,20,5,"DL","GRB",0,16,0
21,2015,12,1,2,"DL","FLL",24,1,0
2657,2015,11,12,4,"DL","PHX",0,13,0
2144,2015,3,6,5,"DL","DCA",96,25,0
2418,2015,8,4,2,"DL","BWI",0,17,0
1055,2015,2,18,3,"DL","MSP",8,15,0
924,2015,8,18,2,"DL","MSP",0,29,0
905,2015,5,17,7,"DL","BNA",5,11,0
2540,2015,8,24,1,"DL","MSY",0,20,0
895,2015,4,19,7,"DL","LGA",0,10,0
1237,2015,5,8,5,"DL","BOS",0,166,0
652,2015,5,8,5,"DL","ATW",0,36,0
1704,2015,6,21,7,"DL","FLL",34,3,0
878,2015,3,6,5,"DL","BWI",0,16,0
188,2015,2,21,6,"DL","BOS",0,19,0
52,2015,12,5,6,"DL","MSP",0,53,0
2107,2015,12,28,1,"DL","SAN",0,16,0
2317,2015,8,22,6,"DL","LAS",0,40,0
2852,2015,7,18,6,"DL","ATL",10,9,0
678,2015,9,25,5,"DL","ORD",5,13,0
2595,2015,3,27,5,"DL","RDU",0,20,0
1973,2015,3,24,2,"DL","FLL",0,22,0
1436,2015,3,20,5,"DL","BWI",0,20,0
2144,2015,7,14,2,"DL","DCA",15,17,0
1155,2015,7,19,7,"DL","DEN",18,4,0
671,2015,11,12,4,"DL","ORD",0,43,0
1495,2015,4,19,7,"DL","BDL",0,29,0
671,2015,11,30,1,"DL","ORD",0,30,0
867,2015,11,30,1,"DL","PHX",0,45,0
1486,2015,6,4,4,"DL","DCA",0,6,0
1749,2015,11,21,6,"DL","PHL",29,63,0
1210,2015,12,17,4,"DL","RDU",17,4,0
2231,2015,5,13,3,"DL","LGA",0,30,0
1335,2015,1,3,6,"DL","IND",0,24,0
901,2015,2,18,3,"DL","ATL",0,8,0
2641,2015,6,24,3,"DL","IAH",0,48,0
276,2015,6,14,7,"DL","MCO",0,77,0
2092,2015,8,24,1,"DL","PHL",0,79,0
1207,2015,7,23,4,"DL","SLC",2,30,0
1358,2015,6,14,7,"DL","RDU",7,70,0
1691,2015,4,17,5,"DL","MSN",0,16,0
2418,2015,7,29,3,"DL","BWI",12,8,0
1287,2015,6,5,5,"DL","BNA",10,14,0
1232,2015,7,9,4,"DL","STL",0,70,0
1719,2015,2,16,1,"DL","LAX",0,18,0
630,2015,4,4,6,"DL","ATL",0,16,0
1220,2015,8,11,2,"DL","DCA",38,2,0
1218,2015,3,24,2,"DL","DCA",0,35,0
2579,2015,6,12,5,"DL","PVD",6,3,0
2515,2015,12,13,7,"DL","JFK",0,17,0
1225,2015,9,26,6,"DL","TPA",0,28,0
1691,2015,8,23,7,"DL","MSN",90,29,0
1057,2015,8,5,3,"DL","CLT",25,1,0
394,2015,6,5,5,"DL","MCO",28,3,0
1225,2015,6,14,7,"DL","TPA",12,5,0
2157,2015,7,14,2,"DL","PHL",22,3,0
820,2015,12,28,1,"DL","IND",102,32,0
678,2015,9,4,5,"DL","ORD",15,3,0
1823,2015,8,17,1,"DL","SEA",16,1,0
2027,2015,4,26,7,"DL","MSN",0,32,0
1220,2015,6,15,1,"DL","DCA",54,5,0
1650,2015,4,5,7,"DL","MSP",0,13,0
1422,2015,7,11,6,"DL","PIT",0,31,0
1237,2015,8,11,2,"DL","BOS",0,16,0
2162,2015,8,10,1,"DL","PHL",0,128,0
1822,2015,2,11,3,"DL","BOS",0,24,0
2230,2015,6,5,5,"DL","LGA",11,9,0
87,2015,3,3,2,"DL","SAN",37,4,0
2008,2015,3,3,2,"DL","SFO",0,103,0
1442,2015,1,23,5,"DL","FLL",0,149,0
1845,2015,1,9,5,"DL","LAX",0,17,0
2598,2015,9,4,5,"DL","DEN",50,1,0
2330,2015,5,16,6,"DL","SFO",0,16,0
1747,2015,9,2,3,"DL","TVC",0,33,0
2090,2015,9,20,7,"DL","MEM",0,48,0
745,2015,12,24,4,"DL","SFO",0,44,0
1420,2015,6,19,5,"DL","SFO",58,1,0
934,2015,9,11,5,"DL","IND",0,29,0
1369,2015,6,21,7,"DL","MCI",0,50,0
1437,2015,9,3,4,"DL","BWI",27,22,0
52,2015,12,18,5,"DL","MSP",0,15,0
745,2015,4,9,4,"DL","SFO",0,44,0
2167,2015,1,12,1,"DL","SLC",42,10,0
2656,2015,6,29,1,"DL","PIT",0,18,0
1844,2015,2,18,3,"DL","DFW",0,25,0
1999,2015,3,16,1,"DL","LGA",73,23,0
1536,2015,12,2,3,"DL","BWI",29,7,0
1055,2015,2,21,6,"DL","MSP",40,2,0
1917,2015,7,21,2,"DL","LAS",0,140,0
630,2015,11,29,7,"DL","ATL",0,15,0
